Gare de départ,latitude,longitude
AIX EN PROVENCE TGV,43.455237,5.317534
ANGERS SAINT LAUD,47.464647,-0.55682
ANGOULEME,45.653572,0.164608
ANNECY,45.901965,6.121835
ARRAS,50.286673,2.781942
AVIGNON TGV,43.921586,4.786079
BELLEGARDE (AIN),46.109425,5.823483
BESANCON FRANCHE COMTE TGV,47.307361058531725,5.953195095062256
BORDEAUX ST JEAN,44.825873,-0.556697
BREST,48.38811,-4.478903
CHAMBERY CHALLES LES EAUX,45.571302,5.919547
DIJON VILLE,47.32337,5.027208
DOUAI,50.371677,3.089986
DUNKERQUE,51.03047,2.368961
GRENOBLE,45.191493,5.714584
LA ROCHELLE VILLE,46.15269,-1.145305
LAVAL,48.076206,-0.760907
LE CREUSOT MONTCEAU MONTCHANIN,46.765343,4.499513
LE MANS,47.995689,0.192578
LILLE,50.639224,3.075796
LYON PART DIEU,45.760559,4.859355
MACON LOCHE,46.282884,4.778876
MARNE LA VALLEE,48.869856,2.78272
MARSEILLE ST CHARLES,43.302666,5.380407
METZ,49.109545,6.176593
MONTPELLIER,43.594787,3.924623
MULHOUSE VILLE,47.742224,7.342396
NANCY,48.689861,6.174583
NANTES,47.216148,-1.542356
NICE VILLE,43.704556,7.261904
NIMES,43.832291,4.365845
PARIS EST,48.876742,2.358424
PARIS LYON,48.844888,2.37352
PARIS MONTPARNASSE,48.841172,2.320514
PARIS NORD,48.880185,2.355151
PERPIGNAN,42.696292,2.879779
POITIERS,46.582275,0.333241
QUIMPER,47.994455,-4.092103
REIMS,49.258978,4.024435
RENNES,48.103517,-1.672744
SAINT ETIENNE CHATEAUCREUX,45.443366,4.399722
ST MALO,48.646859,-2.004158
ST PIERRE DES CORPS,47.386099,0.72355
STRASBOURG,48.584967,7.734584
TOULON,43.12837,5.929293
TOULOUSE MATABIAU,43.611206,1.453616
TOURCOING,50.71683,3.16804
TOURS,47.389781,0.693703
VALENCE ALIXAN TGV,44.991545,4.978703
VANNES,47.665169,-2.75245
