Gare de départ,Date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,daylight_duration
AIX EN PROVENCE TGV,2018-01-01,9.691331,17.55,1.7,60.899998,60.899998,0.0,44.6458,83.520004,33768.734
AIX EN PROVENCE TGV,2018-02-01,4.70625,14.45,-3.7,42.300003,33.4,6.2299995,48.828793,90.72,37842.78
AIX EN PROVENCE TGV,2018-03-01,9.380779,18.05,-0.9,77.1,73.6,2.4499998,52.26079,98.27999,42985.414
AIX EN PROVENCE TGV,2018-04-01,14.830277,25.7,5.5,81.7,81.7,0.0,42.69606,89.64,48359.4
AIX EN PROVENCE TGV,2018-05-01,17.180914,28.75,6.9,104.3,104.3,0.0,38.183765,71.64,52941.72
AIX EN PROVENCE TGV,2018-06-01,21.723682,31.6,15.6,51.7,51.7,0.0,42.183025,80.64,55293.766
AIX EN PROVENCE TGV,2018-07-01,25.5916,34.55,17.75,14.000001,14.000001,0.0,34.417206,68.4,54149.21
AIX EN PROVENCE TGV,2018-08-01,25.054974,37.05,14.4,38.600002,38.600002,0.0,37.5851,72.36,50145.508
AIX EN PROVENCE TGV,2018-09-01,21.623472,32.5,12.9,2.6000001,2.6000001,0.0,40.57633,79.56,45011.617
AIX EN PROVENCE TGV,2018-10-01,16.291061,25.75,4.8,195.8,195.8,0.0,50.555332,99.36,39667.754
AIX EN PROVENCE TGV,2018-11-01,12.188264,20.0,3.9,148.8,148.8,0.0,43.715916,89.64,34946.62
AIX EN PROVENCE TGV,2018-12-01,8.058737,17.55,-1.45,40.8,40.8,0.0,34.358788,66.24,32455.096
AIX EN PROVENCE TGV,2019-01-01,4.6902556,12.5,-2.7,10.4,9.0,0.98,48.81419,92.52,33744.707
AIX EN PROVENCE TGV,2019-02-01,7.8529763,20.15,-1.1,23.3,23.0,0.21000001,49.11065,92.52,37803.71
AIX EN PROVENCE TGV,2019-03-01,11.058332,21.35,2.7,5.9999995,5.9999995,0.0,46.727947,90.0,42942.05
AIX EN PROVENCE TGV,2019-04-01,12.7138195,24.65,2.4,67.6,67.6,0.0,43.952446,84.24,48320.09
AIX EN PROVENCE TGV,2019-05-01,15.548521,25.45,3.5,25.8,25.8,0.0,57.494152,109.799995,52912.125
AIX EN PROVENCE TGV,2019-06-01,22.166042,37.75,10.85,17.1,17.1,0.0,33.64989,66.24,55289.793
AIX EN PROVENCE TGV,2019-07-01,25.432661,33.95,16.35,6.0,6.0,0.0,42.635307,84.24,54170.44
AIX EN PROVENCE TGV,2019-08-01,24.812971,33.8,16.4,3.5,3.5,0.0,37.952263,73.439995,50184.47
AIX EN PROVENCE TGV,2019-09-01,20.573473,31.85,12.7,117.9,117.9,0.0,43.498966,82.439995,45053.348
AIX EN PROVENCE TGV,2019-10-01,17.118078,25.65,8.65,191.90001,191.90001,0.0,46.8512,88.56,39711.117
AIX EN PROVENCE TGV,2019-11-01,10.075902,19.25,2.15,170.4,170.4,0.0,39.463947,81.72,34976.84
AIX EN PROVENCE TGV,2019-12-01,9.861358,17.5,2.25,89.1,89.1,0.0,43.644707,83.88,32460.562
AIX EN PROVENCE TGV,2020-01-01,8.4861555,15.85,1.05,28.900002,28.900002,0.0,38.046055,73.799995,33721.31
AIX EN PROVENCE TGV,2020-02-01,9.93556,19.9,2.3,11.1,11.1,0.0,44.780586,90.36,37845.887
AIX EN PROVENCE TGV,2020-03-01,10.57426,21.5,2.3,31.900002,31.900002,0.0,40.42593,79.2,43079.543
AIX EN PROVENCE TGV,2020-04-01,14.004583,22.65,4.45,71.4,71.4,0.0,26.341572,52.199997,48446.484
AIX EN PROVENCE TGV,2020-05-01,18.45652,26.75,9.65,60.5,60.5,0.0,33.90313,73.799995,53007.137
AIX EN PROVENCE TGV,2020-06-01,20.935833,32.0,12.6,45.0,45.0,0.0,45.60079,86.76,55306.016
AIX EN PROVENCE TGV,2020-07-01,24.967607,34.85,16.6,1.8000001,1.8000001,0.0,45.281357,86.399994,54100.098
