Gare de départ,Gare_match,Nom_Gare,latitude,longitude,Code commune,DEP,REG,code_departement,nom_departement,code_region,nom_region
AIX EN PROVENCE TGV,AIX EN PROVENCE TGV,Aix-en-Provence TGV,43.455237,5.317534,13001,13,93,13,Bouches-du-Rhône,93.0,Provence-Alpes-Côte d'Azur
ANGERS SAINT LAUD,ANGERS SAINT LAUD,Angers Saint-Laud,47.464647,-0.55682,49007,49,52,49,Maine-et-Loire,52.0,Pays de la Loire
ANGOULEME,ANGOULEME,Angoulême,45.653572,0.164608,16015,16,75,16,Charente,75.0,Nouvelle-Aquitaine
ANNECY,ANNECY,Annecy,45.901965,6.121835,74010,74,84,74,Haute-Savoie,84.0,Auvergne-Rhône-Alpes
ANNECY,ANNECY,Annecy,45.901965,6.121835,74010,,,,,,
ARRAS,ARRAS,Arras,50.286673,2.781942,62041,62,32,62,Pas-de-Calais,32.0,Hauts-de-France
AVIGNON TGV,AVIGNON TGV,Avignon TGV,43.921586,4.786079,84007,84,93,84,Vaucluse,93.0,Provence-Alpes-Côte d'Azur
BELLEGARDE (AIN),Bellegarde-sur-Valserine,Bellegarde-sur-Valserine,46.109425,5.823483,01033,01,84,01,Ain,84.0,Auvergne-Rhône-Alpes
BELLEGARDE (AIN),Bellegarde-sur-Valserine,Bellegarde-sur-Valserine,46.109425,5.823483,01033,,,,,,
BESANCON FRANCHE COMTE TGV,BESANCON FRANCHE COMTE TGV,Besançon Franche-Comté TGV,47.307361058531725,5.953195095062256,25035,25,27,25,Doubs,27.0,Bourgogne-Franche-Comté
BESANCON FRANCHE COMTE TGV,BESANCON FRANCHE COMTE TGV,Besançon Franche-Comté TGV,47.307361058531725,5.953195095062256,25035,,,,,,
BORDEAUX ST JEAN,Bordeaux Saint-Jean,Bordeaux Saint-Jean,44.825873,-0.556697,33063,33,75,33,Gironde,75.0,Nouvelle-Aquitaine
BREST,BREST,Brest,48.38811,-4.478903,29019,29,53,29,Finistère,53.0,Bretagne
CHAMBERY CHALLES LES EAUX,CHAMBERY CHALLES LES EAUX,Chambéry - Challes-les-Eaux,45.571302,5.919547,73065,73,84,73,Savoie,84.0,Auvergne-Rhône-Alpes
DIJON VILLE,Dijon,Dijon,47.32337,5.027208,21231,21,27,21,Côte-d'Or,27.0,Bourgogne-Franche-Comté
DOUAI,DOUAI,Douai,50.371677,3.089986,59178,59,32,59,Nord,32.0,Hauts-de-France
DUNKERQUE,DUNKERQUE,Dunkerque,51.03047,2.368961,59183,59,32,59,Nord,32.0,Hauts-de-France
GRENOBLE,GRENOBLE,Grenoble,45.191493,5.714584,38185,38,84,38,Isère,84.0,Auvergne-Rhône-Alpes
