Gare de départ,Date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,daylight_duration
NIMES,2018-01-01,9.480511,18.5,1.9,163.4,163.4,0.0,34.875435,69.12,33643.05
NIMES,2018-02-01,4.5818453,16.45,-5.85,60.399998,49.399998,7.7000003,32.399998,61.56,37771.79
NIMES,2018-03-01,9.302957,18.95,1.0,108.8,106.4,1.6800001,39.98594,75.6,42979.16
NIMES,2018-04-01,14.4245825,25.95,4.65,113.799995,113.799995,0.0,37.909554,74.159996,48420.426
NIMES,2018-05-01,17.060417,27.0,7.05,151.9,151.9,0.0,36.47388,72.72,53063.72
NIMES,2018-06-01,21.764235,32.35,13.75,56.700005,56.700005,0.0,35.33506,69.12,55449.6
NIMES,2018-07-01,26.231989,36.25,18.2,7.2000003,7.2000003,0.0,25.212852,50.039997,54288.305
NIMES,2018-08-01,25.120901,37.35,15.25,59.799995,59.799995,0.0,26.208395,51.48,50229.69
NIMES,2018-09-01,21.484306,33.05,11.5,16.0,16.0,0.0,35.02561,67.67999,45030.51
NIMES,2018-10-01,16.137836,25.6,3.95,191.20001,191.20001,0.0,38.183765,72.0,39620.047
NIMES,2018-11-01,11.1929865,18.85,2.45,214.59999,214.59999,0.0,29.620802,66.6,34837.223
NIMES,2018-12-01,7.926075,17.65,0.2,25.1,25.1,0.0,35.33506,66.24,32310.729
NIMES,2019-01-01,5.520094,13.45,-0.75,13.099999,10.999999,1.4699999,39.763298,74.520004,33618.69
NIMES,2019-02-01,8.084598,22.05,-0.6,36.800003,36.800003,0.0,36.429436,72.36,37732.215
NIMES,2019-03-01,11.407997,23.65,2.3,7.7,7.7,0.0,43.130947,79.56,42935.26
NIMES,2019-04-01,12.550416,24.65,2.15,74.0,74.0,0.0,46.046234,86.03999,48380.613
NIMES,2019-05-01,16.348186,28.5,6.7,35.1,35.1,0.0,46.95068,89.64,53033.715
NIMES,2019-06-01,22.296875,42.2,9.7,25.6,25.6,0.0,33.50128,67.32,55445.566
NIMES,2019-07-01,26.758335,36.65,17.65,12.999999,12.999999,0.0,34.606842,71.28,54309.844
NIMES,2019-08-01,25.488237,35.85,17.6,27.4,27.4,0.0,32.2034,61.56,50269.16
NIMES,2019-09-01,21.282013,33.9,11.15,77.99999,77.99999,0.0,32.846916,62.639996,45072.758
NIMES,2019-10-01,16.742271,24.7,9.2,160.3,160.3,0.0,36.659946,73.079994,39663.96
NIMES,2019-11-01,9.560695,18.5,1.0,165.0,165.0,0.0,40.896065,81.0,34867.85
NIMES,2019-12-01,9.172111,17.1,1.25,63.699997,63.699997,0.0,41.53751,84.96,32316.273
NIMES,2020-01-01,7.7202954,17.8,0.25,65.5,65.5,0.0,36.47388,67.67999,33594.965
NIMES,2020-02-01,10.023779,21.0,1.25,16.8,16.8,0.0,33.353954,63.0,37774.926
NIMES,2020-03-01,10.708334,22.55,1.55,28.1,28.1,0.0,32.569557,69.479996,43074.46
NIMES,2020-04-01,14.040694,23.35,3.55,109.2,109.2,0.0,29.620802,59.399998,48508.62
NIMES,2020-05-01,18.666868,29.05,9.0,84.5,84.5,0.0,31.75355,62.279995,53130.047
NIMES,2020-06-01,21.254444,32.45,13.05,44.399998,44.399998,0.0,41.587402,81.0,55462.04
NIMES,2020-07-01,25.903694,36.0,17.3,3.9,3.9,0.0,31.883888,61.56,54238.49
NIMES,2020-08-01,24.943682,39.6,13.95,38.800003,38.800003,0.0,31.655441,62.639996,50150.305
NIMES,2020-09-01,20.734444,32.05,8.6,56.1,56.1,0.0,31.89608,60.839996,44936.707
NIMES,2020-10-01,14.087635,23.45,6.1,46.899998,46.899998,0.0,37.731365,74.88,39533.1
NIMES,2020-11-01,11.611944,20.45,1.55,59.9,59.9,0.0,34.674183,66.24,34766.637
NIMES,2020-12-01,6.9406586,14.05,-1.5,113.0,112.8,0.14,37.688404,71.28,32299.559
NIMES,2021-01-01,5.724462,16.55,-2.8,43.9,36.6,5.11,34.77868,64.799995,33671.293
NIMES,2021-02-01,9.364137,18.2,-1.0,65.799995,65.799995,0.0,31.875755,59.399998,37815.27
NIMES,2021-03-01,10.122984,22.45,2.9,8.700001,8.700001,0.0,35.296524,74.159996,43030.156
NIMES,2021-04-01,12.298055,23.95,2.55,67.5,67.5,0.0,38.243114,73.799995,48467.14
NIMES,2021-05-01,15.78246,28.25,6.3,90.6,90.6,0.0,36.544872,68.03999,53100.12
NIMES,2021-06-01,23.41632,35.8,13.45,25.400002,25.400002,0.0,29.215502,58.32,55456.71
NIMES,2021-07-01,24.508602,35.5,14.05,37.6,37.6,0.0,30.259275,59.399998,54263.21
NIMES,2021-08-01,23.625134,36.95,15.25,46.600002,46.600002,0.0,28.71437,56.16,50187.492
NIMES,2021-09-01,20.634653,30.35,13.1,132.0,132.0,0.0,26.478973,50.399998,44981.297
NIMES,2021-10-01,14.734408,22.45,6.85,153.6,153.6,0.0,36.982006,72.72,39572.754
NIMES,2021-11-01,9.366667,18.15,0.9,82.2,82.2,0.0,34.518726,62.279995,34799.98
NIMES,2021-12-01,7.287567,18.65,-0.4,46.6,45.8,0.56,33.137604,60.479996,32304.232
NIMES,2022-01-01,5.7323256,14.9,-2.8,2.2,2.2,0.0,41.0968,74.88,33643.812
NIMES,2022-02-01,9.297247,19.9,-0.25,16.699999,16.699999,0.0,35.90086,66.6,37775.977
NIMES,2022-03-01,10.21035,20.75,0.25,53.4,53.4,0.0,36.44722,68.4,42983.965
NIMES,2022-04-01,13.934652,27.2,2.2,33.199997,33.199997,0.0,40.41792,74.88,48427.707
NIMES,2022-05-01,20.166061,32.85,9.25,8.1,8.1,0.0,35.690872,66.24,53069.29
NIMES,2022-06-01,24.821875,39.35,14.5,20.599998,20.599998,0.0,33.145424,61.920002,55452.395
NIMES,2022-07-01,27.981789,38.65,16.2,2.7,2.7,0.0,33.24498,61.920002,54286.125
NIMES,2022-08-01,26.517742,38.4,17.1,49.899998,49.899998,0.0,25.759504,48.96,50224.074
NIMES,2022-09-01,19.80118,32.15,11.2,230.4,230.4,0.0,29.381382,52.92,45024.24
NIMES,2022-10-01,18.214785,26.45,8.3,55.500004,55.500004,0.0,29.882166,54.36,39613.62
NIMES,2022-11-01,11.739028,22.45,3.1,139.2,139.2,0.0,29.144438,54.0,34832.09
NIMES,2022-12-01,8.148723,18.45,-1.9,117.1,116.899994,0.14,24.535524,46.44,32308.324
NIMES,2023-01-01,6.6961694,16.7,-1.65,34.2,32.100002,1.4699999,37.45557,67.67999,33619.797
NIMES,2023-02-01,7.1465774,19.15,-3.2,31.699999,25.900002,4.13,41.251034,75.24,37734.895
NIMES,2023-03-01,10.844355,21.55,-0.2,26.4,26.4,0.0,31.222609,58.679996,42939.496
NIMES,2023-04-01,14.148958,24.55,5.3,16.4,16.4,0.0,35.27632,65.159996,48385.703
NIMES,2023-05-01,17.793547,28.75,9.75,98.5,98.5,0.0,38.833305,72.36,53039.13
NIMES,2023-06-01,22.676666,34.4,14.05,112.8,112.8,0.0,29.68636,55.079998,55447.812
NIMES,2023-07-01,25.692741,36.4,16.85,8.9,8.9,0.0,29.793125,59.039997,54307.535
NIMES,2023-08-01,25.257862,41.05,15.9,32.600002,32.600002,0.0,33.353954,63.36,50264.1
NIMES,2023-09-01,21.728056,33.45,11.15,50.300003,50.300003,0.0,27.009598,52.92,45065.83
NIMES,2023-10-01,18.36008,30.0,7.55,86.40001,86.40001,0.0,40.757977,77.76,39657.52
NIMES,2023-11-01,10.739375,22.05,2.1,43.7,43.7,0.0,37.861664,72.0,34861.58
NIMES,2023-12-01,8.226277,18.05,-1.55,34.7,34.7,0.0,32.688713,60.479996,32314.633
NIMES,2024-01-01,7.0850134,19.45,-3.0,39.1,39.1,0.0,36.402744,70.2,33596.887
NIMES,2024-02-01,10.391451,19.75,2.1,45.600002,45.600002,0.0,32.072342,60.479996,37778.652
NIMES,2024-03-01,11.704839,22.8,2.65,205.90001,204.1,1.26,38.141315,74.520004,43079.645
NIMES,2024-04-01,13.490833,27.4,5.6,60.300003,60.300003,0.0,37.54543,75.96,48513.504
NIMES,2024-05-01,16.346169,25.2,6.95,150.8,150.8,0.0,31.722921,62.639996,53135.33
NIMES,2024-06-01,21.217846,34.05,12.7,81.9,81.9,0.0,36.573235,73.079994,55463.39
NIMES,2024-07-01,25.343279,37.1,16.0,42.7,42.7,0.0,27.887802,57.6,54236.11
NIMES,2024-08-01,26.45457,37.7,15.65,17.5,17.5,0.0,28.594517,56.519997,50144.87
NIMES,2024-09-01,18.831598,32.25,10.75,86.4,86.4,0.0,38.526726,76.32,44930.38
